asset,venue,day,strategy,selected_mode,total_net_bps,mean_net_bps,total_gross_bps,mean_gross_bps,total_cost_bps,mean_cost_bps,mean_turnover,total_turnover,n_steps,positive_episode
AAPL,XNAS,2025-06-07,micro_fixed,,1805.8150038692743,0.18832151463857277,1972.746608440652,0.205730170866686,166.93160457137785,0.017408656228113238,0.011158619251225363,107.0,9589,1
AAPL,XNAS,2025-06-07,momentum,,-5607.931119326547,-0.5848296088566636,-5439.870636149153,-0.5673032262122383,168.06048317739348,0.017526382644425225,0.008447179059338826,81.0,9589,0
AAPL,XNAS,2025-06-07,online_regime,,1805.8150038692743,0.18832151463857277,1972.746608440652,0.205730170866686,166.93160457137785,0.017408656228113238,0.011158619251225363,107.0,9589,1
AAPL,XNAS,2025-06-07,ramp_real,,571.124904575301,0.05956042387895516,803.0178201097992,0.08374364585564702,231.89291553449823,0.024183221976691857,0.011367191573678173,109.0,9589,1
AAPL,XNAS,2025-06-07,ridge_static,,2012.8713624003324,0.20991462742729505,2229.389796774199,0.232494503782897,216.51843437386702,0.022579876355601942,0.009907185316508499,95.0,9589,1
AAPL,XNAS,2025-06-07,signed_flow,,-1622.8766591448973,-0.1692435769261547,-1441.9335861035652,-0.1503737184381651,180.9430730413321,0.018869858487989583,0.011471477734904579,110.0,9589,0
AAPL,XNAS,2025-06-08,camp_r,ramp,1424.5278616217956,0.16510522271926237,1508.4709135720907,0.1748343664316285,83.94305195029503,0.009729143712366137,0.004867872044506259,42.0,8628,1
AAPL,XNAS,2025-06-08,micro_fixed,,5799.352413432796,0.6721548926092717,5880.351426748609,0.6815428171938582,80.99901331581229,0.009387924584586496,0.00961984237366713,83.0,8628,1
AAPL,XNAS,2025-06-08,momentum,,4407.543268095094,0.5108418252312349,4459.626044635466,0.5168783083722145,52.08277654037197,0.006036483140979597,0.0027816411682892906,24.0,8628,1
AAPL,XNAS,2025-06-08,online_regime,,5799.352413432796,0.6721548926092717,5880.351426748609,0.6815428171938582,80.99901331581229,0.009387924584586496,0.00961984237366713,83.0,8628,1
AAPL,XNAS,2025-06-08,ramp_real,,1424.5278616217956,0.16510522271926237,1508.4709135720907,0.1748343664316285,83.94305195029503,0.009729143712366137,0.004867872044506259,42.0,8628,1
AAPL,XNAS,2025-06-08,ridge_static,,-302.07898470951386,-0.03501147249762562,-196.44490779908494,-0.02276830178478036,105.63407691042889,0.012243170712845258,0.004636068613815485,40.0,8628,0
AAPL,XNAS,2025-06-08,signed_flow,,-1339.7551701388252,-0.1552799223619408,-1248.5079323184334,-0.1447042109780289,91.24723782039186,0.010575711383911899,0.007070004636068614,61.0,8628,0
AAPL,XNAS,2025-06-09,camp_r,ramp,6505.681744585869,0.677887021421889,6613.274079035053,0.6890980597098106,107.5923344491838,0.01121103828792162,0.008544336771907888,82.0,9597,1
AAPL,XNAS,2025-06-09,micro_fixed,,634.1275681209244,0.0660756036387334,689.6626513796122,0.07186231649261354,55.53508325868783,0.005786712853880153,0.00771074294050224,74.0,9597,1
AAPL,XNAS,2025-06-09,momentum,,2.386686930697236,0.0002486909378657118,76.69760217375207,0.007991831006955514,74.31091524305484,0.007743140069089802,0.005626758361988122,54.0,9597,1
AAPL,XNAS,2025-06-09,online_regime,,634.1275681209244,0.0660756036387334,689.6626513796122,0.07186231649261354,55.53508325868783,0.005786712853880153,0.00771074294050224,74.0,9597,1
AAPL,XNAS,2025-06-09,ramp_real,,6505.681744585869,0.677887021421889,6613.274079035053,0.6890980597098106,107.5923344491838,0.01121103828792162,0.008544336771907888,82.0,9597,1
AAPL,XNAS,2025-06-09,ridge_static,,5502.821677265292,0.5733897756867034,5579.687149154147,0.5813990985885326,76.86547188885406,0.00800932290182912,0.005626758361988122,54.0,9597,1
AAPL,XNAS,2025-06-09,signed_flow,,692.8057701120166,0.07218982704095203,768.9128947525727,0.08012013074425056,76.10712464055601,0.007930303703298532,0.008961133687610711,86.0,9597,1
