strategy,day,total_net_bps,mean_net_bps,mean_gross_bps,mean_cost_bps,turnover,active_share,hit_rate
micro_fixed,2025-06-08,5799.352413432796,0.6721548926092717,0.6815428171938582,0.009387924584586496,0.00961984237366713,0.1770978210477515,0.10813630041724617
momentum,2025-06-08,4407.543268095094,0.5108418252312349,0.5168783083722145,0.006036483140979597,0.0027816411682892906,0.048678720445062586,0.033611497450162266
online_regime,2025-06-08,5799.352413432796,0.6721548926092717,0.6815428171938582,0.009387924584586496,0.00961984237366713,0.1770978210477515,0.10813630041724617
ramp_real,2025-06-08,1424.5278616217956,0.16510522271926237,0.1748343664316285,0.009729143712366137,0.004867872044506259,0.08692628650904033,0.04207232267037552
ridge_static,2025-06-08,-302.0789847095138,-0.035011472497625616,-0.022768301784780356,0.012243170712845258,0.004636068613815485,0.07649513212795549,0.04102920723226704
signed_flow,2025-06-08,-1339.7551701388252,-0.1552799223619408,-0.1447042109780289,0.010575711383911899,0.007070004636068614,0.1214649976819657,0.06223922114047288
micro_fixed,2025-06-09,634.1275681209244,0.0660756036387334,0.07186231649261354,0.005786712853880153,0.00771074294050224,0.11878712097530478,0.06606231113889757
momentum,2025-06-09,2.386686930697173,0.0002486909378657052,0.007991831006955509,0.007743140069089802,0.005626758361988122,0.09377930603313535,0.05137021986037303
online_regime,2025-06-09,634.1275681209244,0.0660756036387334,0.07186231649261354,0.005786712853880153,0.00771074294050224,0.11878712097530478,0.06606231113889757
ramp_real,2025-06-09,6505.68174458587,0.6778870214218891,0.6890980597098106,0.01121103828792162,0.008544336771907888,0.16255079712410128,0.0805460039595707
ridge_static,2025-06-09,5502.821677265292,0.5733897756867034,0.5813990985885326,0.00800932290182912,0.005626758361988122,0.10628321350422007,0.04751484839012191
signed_flow,2025-06-09,692.8057701120165,0.07218982704095202,0.08012013074425056,0.007930303703298532,0.008961133687610711,0.15317286652078774,0.07043867875377723
micro_fixed,2025-06-10,-8737.40696699292,-0.9472470692750347,-0.9352624947154349,0.011984574559599568,0.012575888985255855,0.22441457068516912,0.09952298352124891
momentum,2025-06-10,3788.8407523520164,0.4107589714171744,0.4203705312643709,0.00961155984719653,0.006071118820468344,0.09757155247181266,0.04748482220294883
online_regime,2025-06-10,8516.315535517426,0.9232779201558354,0.9352624947154349,0.011984574559599568,0.012575888985255855,0.22441457068516912,0.12022983521248916
ramp_real,2025-06-10,1092.031969464298,0.1183902828994252,0.1365062792246022,0.01811599632517702,0.012359063313096271,0.25043365134431916,0.132805724197745
ridge_static,2025-06-10,-106.24581567137955,-0.01151841019854505,0.005886488061976608,0.01740489826052166,0.013443191673894189,0.26019080659150046,0.12261491760624459
signed_flow,2025-06-10,-1108.3721385915128,-0.12016176697653001,-0.11077550433755777,0.009386262638972223,0.007372072853425846,0.11383347788378144,0.05724197745013009
micro_fixed,2025-06-11,-3626.650462319395,-0.38247737421634626,-0.363648579517741,0.018828794698605288,0.01096815017928707,0.18983336848766083,0.0901708500316389
momentum,2025-06-11,-7439.262479256469,-0.7845668086117348,-0.7630524028881321,0.02151440572360261,0.008647964564437883,0.14553891584053996,0.051255009491668425
online_regime,2025-06-11,3269.581199655044,0.34481978481913567,0.363648579517741,0.018828794698605288,0.01096815017928707,0.18983336848766083,0.09713140687618646
ramp_real,2025-06-11,6336.429376638971,0.6682587404175249,0.6907936840125276,0.02253494359500268,0.007382408774520143,0.1487028053153343,0.08036279265977642
ridge_static,2025-06-11,-7751.1718040529895,-0.8174616962721989,-0.7971443053696575,0.0203173909025413,0.005695001054629825,0.1139000210925965,0.056633621598818816
signed_flow,2025-06-11,-2033.91637491684,-0.21450288704037543,-0.20489362932251914,0.009609257717856267,0.004851297194684666,0.07909723686985869,0.03037333895802573
